pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
4,1,4,Matt,Elly De La Cruz,hitter,SS,SS,MLB,MLB,10,5.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Elly De La Cruz fit as a speed-impact bat; dynasty rank 10; market ADP 5.0; roster construction needed this position fit."
17,2,7,Matt,Kyle Tucker,hitter,OF,OF,MLB,MLB,18,16.5,,Signed as Free Agent,"Matt prioritized weekly usability, flexibility, and role-driven edges; Kyle Tucker fit as a OBP anchor bat; dynasty rank 18; market ADP 16.5; roster construction needed this position fit."
24,3,4,Matt,James Wood,hitter,OF,OF,MLB,MLB,19,22.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; James Wood fit as a of contributor; dynasty rank 19; market ADP 22.5; roster construction needed this position fit."
37,4,7,Matt,Yordan Alvarez,hitter,OF,DH/OF,MLB,MLB,31,27.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Yordan Alvarez fit as a OBP anchor bat; dynasty rank 31; market ADP 27.5; roster construction needed this position fit."
44,5,4,Matt,Hunter Brown,pitcher,SP,SP,IL,MLB,24,29.0,15-day Injured List,Status Change,"Matt prioritized weekly usability, flexibility, and role-driven edges; Hunter Brown fit as a sp contributor; dynasty rank 24; market ADP 29.0."
57,6,7,Matt,Maikel Garcia,hitter,SS,3B/2B/SS/OF,MLB,MLB,78,80.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Maikel Garcia fit as a speed-impact bat; dynasty rank 78; market ADP 80.0; roster construction needed this position fit; position scarcity play at SS pushed the pick up."
64,7,4,Matt,Josh Naylor,hitter,1B,1B,MLB,MLB,54,75.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Josh Naylor fit as a 1b contributor; dynasty rank 54; market ADP 75.0; roster construction needed this position fit."
77,8,7,Matt,Brice Turang,hitter,SS,2B/SS,MLB,MLB,77,96.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Brice Turang fit as a speed-impact bat; dynasty rank 77; market ADP 96.0; roster construction needed this position fit; position scarcity play at SS pushed the pick up."
84,9,4,Matt,George Kirby,pitcher,SP,SP,MLB,MLB,57,62.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; George Kirby fit as a sp contributor; dynasty rank 57; market ADP 62.0."
97,10,7,Matt,Jhoan Duran,pitcher,RP,RP,MLB,MLB,88,107.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Jhoan Duran fit as a late-inning reliever; dynasty rank 88; market ADP 107.5; team save totals needed attention."
104,11,4,Matt,Jordan Westburg,hitter,2B,3B/2B,MLB,,96,104.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Jordan Westburg fit as a 2b contributor; dynasty rank 96; market ADP 104.0; roster construction needed this position fit; position scarcity play at 3B pushed the pick up."
117,12,7,Matt,Adley Rutschman,hitter,C,C,MLB,MLB,174,117.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Adley Rutschman fit as a c contributor; dynasty rank 174; market ADP 117.0; roster construction needed this position fit."
124,13,4,Matt,David Bednar,pitcher,RP,RP,MLB,MLB,201,128.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; David Bednar fit as a late-inning reliever; dynasty rank 201; market ADP 128.0."
144,15,4,Matt,Wilyer Abreu,hitter,OF,OF,MLB,MLB,190,127.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Wilyer Abreu fit as a of contributor; dynasty rank 190; market ADP 127.5; roster construction needed this position fit."
157,16,7,Matt,Noelvi Marte,hitter,3B,3B/OF,MLB,MLB,172,151.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Noelvi Marte fit as a 3b contributor; dynasty rank 172; market ADP 151.5; roster construction needed this position fit; position scarcity play at 3B pushed the pick up."
164,17,4,Matt,Salvador Perez,hitter,C,C/1B,MLB,MLB,303,146.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Salvador Perez fit as a c contributor; dynasty rank 303; market ADP 146.0; roster construction needed this position fit; position scarcity play at C pushed the pick up."
177,18,7,Matt,Bryce Miller,pitcher,SP,SP,IL,,168,145.0,15-day Injured List,Status Change,"Matt prioritized weekly usability, flexibility, and role-driven edges; Bryce Miller fit as a sp contributor; dynasty rank 168; market ADP 145.0."
184,19,4,Matt,Luis Robert Jr.,hitter,OF,OF,MLB,MLB,154,165.5,,Trade,"Matt prioritized weekly usability, flexibility, and role-driven edges; Luis Robert Jr. fit as a speed-impact bat; dynasty rank 154; market ADP 165.5; roster construction needed this position fit."
197,20,7,Matt,Josh Hader,pitcher,RP,RP,IL,,126,196.0,15-day Injured List,Status Change,"Matt prioritized weekly usability, flexibility, and role-driven edges; Josh Hader fit as a late-inning reliever; dynasty rank 126; market ADP 196.0."
204,21,4,Matt,Edwin Diaz,pitcher,RP,RP,MLB,MLB,93,211.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Edwin Diaz fit as a late-inning reliever; dynasty rank 93; market ADP 211.0."
217,22,7,Matt,Edward Cabrera,pitcher,SP,SP,MLB,MLB,181,194.0,,Trade,"Matt prioritized weekly usability, flexibility, and role-driven edges; Edward Cabrera fit as a sp contributor; dynasty rank 181; market ADP 194.0."
237,24,7,Matt,Carlos Correa,hitter,SS,SS/3B,MLB,MLB,288,187.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Carlos Correa fit as a ss contributor; dynasty rank 288; market ADP 187.0; team OBP build needed reinforcement."
244,25,4,Matt,Caleb Durbin,hitter,2B,3B/2B,MLB,MLB,310,217.0,,Trade,"Matt prioritized weekly usability, flexibility, and role-driven edges; Caleb Durbin fit as a 2b contributor; dynasty rank 310; market ADP 217.0; team OBP build needed reinforcement."
257,26,7,Matt,Jared Jones,pitcher,SP,SP/1B/INFIELDER,Minors,MLB,153,140.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Jared Jones fit as a sp contributor; dynasty rank 153; market ADP 140.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
264,27,4,Matt,Josh Smith,hitter,SS,1B/SS/3B/OF,MLB,MLB,405,225.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Josh Smith fit as a ss contributor; dynasty rank 405; market ADP 225.0; team OBP build needed reinforcement."
277,28,7,Matt,Logan Henderson,pitcher,SP,SP/P/PITCHER,Minors,AAA,327,231.0,,Optioned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Logan Henderson fit as a sp contributor; dynasty rank 327; market ADP 231.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
284,29,4,Matt,Willi Castro,hitter,2B,2B/3B/OF,MLB,MLB,484,240.0,,Signed as Free Agent,"Matt prioritized weekly usability, flexibility, and role-driven edges; Willi Castro fit as a 2b contributor; dynasty rank 484; market ADP 240.0; team OBP build needed reinforcement."
297,30,7,Matt,Colt Keith,hitter,2B,2B/3B/1B,MLB,MLB,301,242.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Colt Keith fit as a 2b contributor; dynasty rank 301; market ADP 242.0; team OBP build needed reinforcement."
304,31,4,Matt,Spencer Steer,hitter,1B,1B/OF,MLB,MLB,305,253.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Spencer Steer fit as a 1b contributor; dynasty rank 305; market ADP 253.0; team OBP build needed reinforcement."
317,32,7,Matt,Luis Arraez,hitter,2B,1B/2B,MLB,MLB,356,274.0,,Signed as Free Agent,"Matt prioritized weekly usability, flexibility, and role-driven edges; Luis Arraez fit as a 2b contributor; dynasty rank 356; market ADP 274.0; team OBP build needed reinforcement."
324,33,4,Matt,Carlos Estevez,pitcher,RP,RP,IL,MLB,332,286.0,15-day Injured List,Status Change,"Matt prioritized weekly usability, flexibility, and role-driven edges; Carlos Estevez fit as a late-inning reliever; dynasty rank 332; market ADP 286.0."
337,34,7,Matt,JR Ritchie,pitcher,SP,SP/P/PITCHER,Minors,AAA,420,1279.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; JR Ritchie fit as a sp contributor; dynasty rank 420; market ADP 1279.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
344,35,4,Matt,Gabriel Gonzalez,hitter,OF,OF/RF/OUTFIELDER,Minors,AAA,1028,1085.0,,Optioned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Gabriel Gonzalez fit as a of contributor; dynasty rank 1028; market ADP 1085.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
357,36,7,Matt,William Bergolla Jr.,hitter,SS,SS/2B/INFIELDER,Minors,MLB,1072,1220.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; William Bergolla Jr. fit as a ss contributor; dynasty rank 1072; market ADP 1220.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
364,37,4,Matt,Tommy Troy,hitter,SS,2B/SS/INFIELDER,Minors,MLB,1080,1252.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Tommy Troy fit as a ss contributor; dynasty rank 1080; market ADP 1252.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
377,38,7,Matt,Xavier Isaac,hitter,1B,DH/1B/INFIELDER,Minors,MLB,404,1551.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Xavier Isaac fit as a 1b contributor; dynasty rank 404; market ADP 1551.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
384,39,4,Matt,John Peck,hitter,SS,SS/INFIELDER,Minors,MLB,1055,1140.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; John Peck fit as a ss contributor; dynasty rank 1055; market ADP 1140.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
397,40,7,Matt,Max Anderson,hitter,2B,2B/INFIELDER,Minors,MLB,1264,1364.0,7-day Injured List,Status Change,"Matt prioritized weekly usability, flexibility, and role-driven edges; Max Anderson fit as a 2b contributor; dynasty rank 1264; market ADP 1364.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
404,41,4,Matt,RJ Schreck,hitter,OF,OF/LF/OUTFIELDER,Minors,MLB,1207,1285.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; RJ Schreck fit as a of contributor; dynasty rank 1207; market ADP 1285.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
417,42,7,Matt,Nick Morabito,hitter,OF,OF/CF/OUTFIELDER,Minors,AAA,1779,1521.0,,Optioned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Nick Morabito fit as a of contributor; dynasty rank 1779; market ADP 1521.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
424,43,4,Matt,Tirso Ornelas,hitter,OF,OF/LF/OUTFIELDER,Minors,AAA,1157,1205.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Tirso Ornelas fit as a of contributor; dynasty rank 1157; market ADP 1205.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
437,44,7,Matt,Duce Gourson,hitter,SS,2B/SS/INFIELDER,Minors,MLB,1314,1554.0,,Status Change,"Matt prioritized weekly usability, flexibility, and role-driven edges; Duce Gourson fit as a ss contributor; dynasty rank 1314; market ADP 1554.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
444,45,4,Matt,Andrew Pinckney,hitter,OF,OF/OUTFIELDER,Minors,MLB,1778,1444.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Andrew Pinckney fit as a of contributor; dynasty rank 1778; market ADP 1444.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
458,MiLB-1,1,Matt,Ryan Sloan,pitcher,P,P,Minors,High-A,33,,,,Minor league fill draft pick; prospect rank 33; FV 55; ETA 2028; best available prospect
459,FA,,Matt,Trevor Megill,pitcher,P,RP,MLB,MLB,279,313.0,,,Auto-added as an IL replacement for Hunter Brown.
